model,system,lambda,c,rho_perserver,rho_offered,Wq_mean_s,Wq_lo_s,Wq_hi_s,Lq_mean,Lq_lo,Lq_hi,P_wait,P_wait_gt2p5,Wq_p95_s
B_dedicated,slow,0.042721,1,0.35,,2.25894,2.23847,2.27516,0.09651,0.09563,0.0972,0.35011,0.27688,11.06886
B_dedicated,slow,0.047604,1,0.39,,2.68364,2.65665,2.70224,0.12775,0.12647,0.12864,0.3902,0.31305,12.54647
B_dedicated,slow,0.052486,1,0.43,,3.16935,3.13459,3.18981,0.16635,0.16452,0.16742,0.43018,0.35032,14.10104
B_dedicated,slow,0.057369,1,0.47,,3.7289,3.68355,3.7518,0.21392,0.21132,0.21524,0.4704,0.3885,15.85038
B_dedicated,slow,0.062251,1,0.51,,4.3811,4.327,4.40566,0.27273,0.26936,0.27426,0.51064,0.42787,17.90681
B_dedicated,slow,0.067134,1,0.55,,5.14727,5.08309,5.17396,0.34555,0.34125,0.34735,0.55046,0.46865,20.3136
B_dedicated,slow,0.072016,1,0.59,,6.065,5.98463,6.10305,0.43678,0.43099,0.43952,0.59062,0.50988,23.15807
B_dedicated,slow,0.076898,1,0.63,,7.18809,7.08931,7.24171,0.55275,0.54516,0.55688,0.63068,0.55259,26.63347
B_dedicated,slow,0.081781,1,0.67,,8.57851,8.45917,8.64925,0.70156,0.6918,0.70734,0.67073,0.59594,30.91711
B_dedicated,slow,0.086663,1,0.71,,10.34863,10.20891,10.44321,0.89685,0.88474,0.90504,0.71107,0.64072,36.29221
B_dedicated,slow,0.091546,1,0.75,,12.6953,12.53909,12.79925,1.1622,1.1479,1.17172,0.75069,0.68695,43.37285
B_dedicated,slow,0.096428,1,0.79,,15.96215,15.77777,16.12577,1.5392,1.52142,1.55498,0.79089,0.7339,53.21384
B_dedicated,slow,0.101311,1,0.83,,20.78201,20.41499,21.17412,2.10544,2.06826,2.14516,0.83102,0.78257,67.62595
B_dedicated,slow,0.106193,1,0.87,,28.60259,27.66182,29.48071,3.0374,2.93749,3.13065,0.87112,0.83182,91.43068
B_dedicated,slow,0.111076,1,0.91,,43.99252,41.48961,45.98704,4.88649,4.60848,5.10804,0.91119,0.88255,139.69176
B_dedicated,slow,0.115958,1,0.95,,86.1992,74.365,92.60895,9.99549,8.62322,10.73875,0.95131,0.93464,273.16473
B_dedicated,slow,0.007324,2,0.03,,0.00471,0.00399,0.00536,3e-05,3e-05,4e-05,0.00169,0.00085,0.0
B_dedicated,slow,0.017089,2,0.07,,0.02531,0.02404,0.02696,0.00043,0.00041,0.00046,0.00887,0.00443,0.0
B_dedicated,slow,0.026853,2,0.11,,0.06121,0.05993,0.06365,0.00164,0.00161,0.00171,0.02094,0.01068,0.0
B_dedicated,slow,0.036618,2,0.15,,0.11267,0.11072,0.11625,0.00413,0.00405,0.00426,0.03776,0.01961,0.0
B_dedicated,slow,0.046383,2,0.19,,0.18016,0.17792,0.18439,0.00836,0.00825,0.00855,0.0584,0.03118,0.7148
B_dedicated,slow,0.056148,2,0.23,,0.26469,0.2617,0.26961,0.01486,0.01469,0.01514,0.08295,0.04547,2.16445
B_dedicated,slow,0.065913,2,0.27,,0.36783,0.36444,0.37269,0.02424,0.02402,0.02456,0.11093,0.06244,3.24581
